campaign_id,product
CAMP166,Spicy Strips
CAMP198,Fried Wings
CAMP991,Chicken Nuggets
CAMP158,Fried Wings
CAMP290,Spicy Strips
CAMP82,Spicy Strips
CAMP581,Spicy Strips
CAMP34,Fried Wings
CAMP753,Chicken Nuggets
CAMP592,Too Much Grilled Tenders
CAMP642,Hardcore Spicy Tenders
CAMP810,Fried Wings
CAMP4,Grilled Tenders
CAMP601,Chicken Nuggets
CAMP632,Grilled Tenders
CAMP568,Hardcore Spicy Tenders
CAMP333,Hardcore Spicy Tenders
CAMP128,Soft Chicken Nuggets
CAMP875,Grilled Tenders
CAMP505,Soft Chicken Nuggets
CAMP486,Chicken Nuggets
CAMP103,Chicken Nuggets
CAMP960,Chicken Nuggets
CAMP123,Spicy Strips
CAMP520,Soft Chicken Nuggets
CAMP18,Too Much Grilled Tenders
CAMP764,Fried Wings
CAMP587,Hardcore Spicy Tenders
CAMP351,Spicy Strips
CAMP224,Soft Chicken Nuggets
CAMP46,Hardcore Spicy Tenders
CAMP334,Chicken Nuggets
CAMP302,Fried Wings
CAMP476,Grilled Tenders
CAMP442,Chicken Nuggets
CAMP558,Chicken Nuggets
CAMP329,Spicy Strips
CAMP25,Spicy Strips
CAMP46,Spicy Strips
CAMP847,Soft Chicken Nuggets
CAMP88,Fried Wings
CAMP325,Too Much Grilled Tenders
CAMP869,Chicken Nuggets
CAMP948,Chicken Nuggets
CAMP824,Too Much Grilled Tenders
CAMP90,Soft Chicken Nuggets
CAMP801,Too Much Grilled Tenders
CAMP957,Spicy Strips
CAMP349,Hardcore Spicy Tenders
CAMP592,Grilled Tenders
CAMP645,Too Much Grilled Tenders
CAMP219,Spicy Strips
CAMP83,Grilled Tenders
CAMP125,Chicken Nuggets
CAMP227,Soft Chicken Nuggets
CAMP140,Spicy Strips
CAMP84,Grilled Tenders
CAMP977,Hardcore Spicy Tenders
CAMP928,Fried Wings
CAMP663,Chicken Nuggets
CAMP617,Grilled Tenders
CAMP646,Spicy Strips
CAMP181,Hardcore Spicy Tenders
CAMP716,Too Much Grilled Tenders
CAMP989,Spicy Strips
CAMP122,Grilled Tenders
CAMP731,Hardcore Spicy Tenders
CAMP250,Too Much Grilled Tenders
CAMP922,Too Much Grilled Tenders
CAMP710,Grilled Tenders
CAMP467,Fried Wings
CAMP770,Spicy Strips
CAMP342,Too Much Grilled Tenders
CAMP876,Hardcore Spicy Tenders
CAMP167,Too Much Grilled Tenders
CAMP607,Soft Chicken Nuggets
CAMP404,Spicy Strips
CAMP822,Too Much Grilled Tenders
CAMP517,Too Much Grilled Tenders
CAMP431,Grilled Tenders
CAMP381,Hardcore Spicy Tenders
CAMP254,Too Much Grilled Tenders
CAMP414,Chicken Nuggets
CAMP18,Too Much Grilled Tenders
CAMP617,Chicken Nuggets
CAMP60,Spicy Strips
CAMP762,Grilled Tenders
