username,sale_date,country,product,quantity,unit_price,total_amount
user_3861,2026-02-10,Brazil,Spicy Strips,176,59.68,10503.68
user_252,2025-08-21,Germany,Fried Wings,216,68.51,14798.16
user_1960,2024-09-11,China,Chicken Nuggets,320,42.94,13740.8
user_1951,2026-04-03,USA,Fried Wings,958,45.46,43550.68
user_213,2026-08-05,Germany,Spicy Strips,977,178.94,174824.38
user_172,2026-12-08,China,Spicy Strips,926,13.61,12602.86
user_1288,2024-04-19,Brazil,Spicy Strips,141,69.64,9819.24
user_4147,2025-10-22,Germany,Fried Wings,645,24.59,15860.55
user_4587,2025-05-04,Germany,Chicken Nuggets,117,89.63,10486.71
user_2120,2024-07-21,Germany,Too Much Grilled Tenders,55,120.61,6633.55
user_4179,2026-08-13,Japan,Hardcore Spicy Tenders,506,87.39,44219.34
user_2232,2024-10-17,India,Fried Wings,809,43.94,35547.46
user_26,2025-09-15,Germany,Grilled Tenders,351,139.72,49041.72
user_484,2024-08-09,Japan,Chicken Nuggets,993,62.48,62042.64
user_2346,2024-02-17,USA,Grilled Tenders,765,155.01,118582.65
user_3305,2025-08-18,India,Hardcore Spicy Tenders,640,62.95,40288.0
user_1944,2025-12-16,Brazil,Hardcore Spicy Tenders,936,78.51,73485.36
user_3385,2026-11-28,India,Soft Chicken Nuggets,113,8.75,988.75
user_4234,2025-04-23,India,Grilled Tenders,872,127.99,111607.28
user_1019,2025-09-15,Brazil,Soft Chicken Nuggets,938,164.71,154497.98
user_4925,2025-10-22,Canada,Chicken Nuggets,509,77.95,39676.55
user_4963,2025-10-12,Canada,Chicken Nuggets,352,160.92,56643.84
user_3582,2024-06-13,Japan,Chicken Nuggets,284,118.36,33614.24
user_3635,2026-05-05,Canada,Spicy Strips,233,10.0,2330.0
user_3468,2024-12-20,Germany,Soft Chicken Nuggets,618,49.0,30282.0
user_225,2025-11-22,Germany,Too Much Grilled Tenders,158,92.38,14596.04
user_3848,2024-12-06,India,Fried Wings,607,133.15,80822.05
user_1054,2025-11-29,Brazil,Hardcore Spicy Tenders,633,196.39,124314.87
user_1184,2026-05-01,China,Spicy Strips,767,12.41,9518.47
user_40,2026-05-02,Canada,Soft Chicken Nuggets,998,73.4,73253.2
user_2153,2026-03-22,USA,Hardcore Spicy Tenders,169,171.51,28985.19
user_1787,2024-06-12,UK,Chicken Nuggets,146,158.85,23192.1
user_4788,2024-09-26,Germany,Fried Wings,188,199.63,37530.44
user_3444,2025-03-22,Brazil,Grilled Tenders,762,72.35,55130.7
user_1340,2025-07-18,Germany,Chicken Nuggets,847,77.1,65303.7
user_4619,2026-11-02,Brazil,Chicken Nuggets,121,27.36,3310.56
user_1081,2026-11-08,France,Spicy Strips,994,67.16,66757.04
user_678,2026-03-02,Japan,Spicy Strips,23,110.22,2535.06
user_4163,2025-10-28,India,Spicy Strips,653,140.81,91948.93
user_2744,2025-07-01,Brazil,Soft Chicken Nuggets,163,110.71,18045.73
user_4981,2026-03-14,Canada,Fried Wings,897,119.94,107586.18
user_2694,2024-01-14,UK,Too Much Grilled Tenders,305,187.28,57120.4
user_747,2026-07-19,Canada,Chicken Nuggets,415,10.27,4262.05
user_1373,2024-01-08,Canada,Chicken Nuggets,191,110.81,21164.71
user_4049,2026-12-02,UK,Too Much Grilled Tenders,766,136.58,104620.28
user_4451,2025-02-19,Canada,Soft Chicken Nuggets,455,96.17,43757.35
user_1885,2024-07-25,Japan,Too Much Grilled Tenders,621,17.9,11115.9
user_1185,2024-01-21,Japan,Spicy Strips,71,72.02,5113.42
user_3600,2026-10-02,China,Hardcore Spicy Tenders,192,54.5,10464.0
user_626,2024-05-09,India,Grilled Tenders,665,14.59,9702.35
user_4591,2024-01-01,India,Too Much Grilled Tenders,874,12.99,11353.26
user_2681,2025-11-24,USA,Spicy Strips,366,16.21,5932.86
user_1475,2025-04-02,Canada,Grilled Tenders,441,122.1,53846.1
user_250,2025-08-19,UK,Chicken Nuggets,638,197.07,125730.66
user_2171,2024-10-30,Japan,Soft Chicken Nuggets,268,21.7,5815.6
user_2868,2026-10-26,USA,Spicy Strips,81,117.0,9477.0
user_2104,2025-10-29,China,Grilled Tenders,444,174.1,77300.4
user_4661,2024-05-23,France,Hardcore Spicy Tenders,869,1.7,1477.3
user_1333,2024-10-21,Canada,Fried Wings,91,157.79,14358.89
user_772,2025-12-16,Brazil,Chicken Nuggets,4,16.55,66.2
user_3039,2024-01-11,Brazil,Grilled Tenders,184,42.54,7827.36
user_2378,2024-08-26,Japan,Spicy Strips,390,140.57,54822.3
user_3338,2026-02-13,India,Hardcore Spicy Tenders,652,58.05,37848.6
user_2531,2024-07-12,Japan,Too Much Grilled Tenders,436,20.35,8872.6
user_4272,2024-02-24,Japan,Spicy Strips,936,62.85,58827.6
user_4660,2024-11-25,Germany,Grilled Tenders,436,192.49,83925.64
user_345,2025-01-07,Brazil,Hardcore Spicy Tenders,967,49.55,47914.85
user_3021,2024-01-21,UK,Too Much Grilled Tenders,795,108.49,86249.55
user_1259,2025-11-24,China,Too Much Grilled Tenders,733,64.9,47571.7
user_3362,2025-05-27,Japan,Grilled Tenders,233,111.55,25991.15
user_720,2024-02-21,Canada,Fried Wings,812,132.08,107248.96
user_2086,2026-12-16,China,Spicy Strips,905,2.26,2045.3
user_1907,2026-08-20,France,Too Much Grilled Tenders,607,38.05,23096.35
user_4438,2024-05-24,Brazil,Hardcore Spicy Tenders,586,32.67,19144.62
user_3754,2025-05-11,China,Too Much Grilled Tenders,489,164.78,80577.42
user_1096,2026-04-29,Japan,Soft Chicken Nuggets,582,85.72,49889.04
user_919,2024-12-30,Japan,Spicy Strips,848,133.68,113360.64
user_1186,2024-07-03,France,Too Much Grilled Tenders,738,49.98,36885.24
user_4241,2025-01-05,China,Too Much Grilled Tenders,211,161.85,34150.35
user_4361,2025-06-17,Japan,Grilled Tenders,12,116.76,1401.12
user_3155,2024-01-26,USA,Hardcore Spicy Tenders,117,88.0,10296.0
user_2904,2026-10-14,USA,Too Much Grilled Tenders,315,21.83,6876.45
user_3388,2026-03-06,USA,Chicken Nuggets,972,32.59,31677.48
user_3347,2024-06-19,Japan,Too Much Grilled Tenders,775,199.2,154380.0
user_1811,2026-11-01,China,Chicken Nuggets,618,109.74,67819.32
user_2017,2024-07-25,India,Spicy Strips,712,145.43,103546.16
user_2232,2024-04-28,UK,Grilled Tenders,663,37.78,25048.14
user_1843,2025-04-18,France,Hardcore Spicy Tenders,715,63.9,45688.5
user_4040,2024-11-19,USA,Soft Chicken Nuggets,609,191.03,116337.27
